Unnamed: 0,trajectory_id,htpmd_version,s3_bucket,s3_prefix,conductivity,li_diffusivity,tfsi_diffusivity,poly_diffusivity,mol_smiles,poly_smiles,transference_number,molarity
1157,1187,0.1.4,htp-md-stage,trajectories/0623/poly_9_nion_50_conc_1.5/9-0-428455302-0,0.000506562,6.27E-08,1.16E-07,9.48E-08,O=C([Au])OCCOCCNCCOCCO[Cu],COCCOCCNCCOCCOC(=O)OCCOCCNCCOCCOC(=O)OCCOCCNCCOCCOC(=O)OCCOCCNCCOCCOC(=O)OCCOCCNCCOCCOC(=O)OCCOCCNCCOCCOC(=O)OCCOCCNCCOCCOC(=O)OCCOCCNCCOCCOC(=O)OCCOCCNCCOCCOC(=O)OCCOCCNCCOCCOC(=O)OCCOCCNCCOCCOC(C)=O,0.332319033,1.462694931
1195,1225,0.1.4,htp-md-stage,trajectories/0623/poly_9_nion_50_conc_1.5/9-0-538225833-0,0.000486525,6.40E-08,9.46E-08,8.33E-08,O=C([Au])OCCOCCOCCOCCO[Cu],COCCOCCOCCOCCOC(=O)OCCOCCOCCOCCOC(=O)OCCOCCOCCOCCOC(=O)OCCOCCOCCOCCOC(=O)OCCOCCOCCOCCOC(=O)OCCOCCOCCOCCOC(=O)OCCOCCOCCOCCOC(=O)OCCOCCOCCOCCOC(=O)OCCOCCOCCOCCOC(=O)OCCOCCOCCOCCOC(=O)OCCOCCOCCOCCOC(C)=O,0.361373635,1.456239395
153,181,0.1.4,htp-md-stage,trajectories/0623/poly_9_nion_50_conc_1.5/9-0-1119505776-0,0.000368168,4.20E-08,8.07E-08,6.80E-08,CN(CCO[Cu])CCN(C)CCOC(=O)[Au],COCCN(C)CCN(C)CCOC(=O)OCCN(C)CCN(C)CCOC(=O)OCCN(C)CCN(C)CCOC(=O)OCCN(C)CCN(C)CCOC(=O)OCCN(C)CCN(C)CCOC(=O)OCCN(C)CCN(C)CCOC(=O)OCCN(C)CCN(C)CCOC(=O)OCCN(C)CCN(C)CCOC(=O)OCCN(C)CCN(C)CCOC(=O)OCCN(C)CCN(C)CCOC(=O)OCCN(C)CCN(C)CCOC(=O)OCCN(C)CCN(C)CCOC(=O)OCCN(C)CCN(C)CCOC(=O)OCCN(C)CCN(C)CCOC(C)=O,0.318709136,1.456048647
1145,1175,0.1.4,htp-md-stage,trajectories/0623/poly_9_nion_50_conc_1.5/9-0-428453611-0,0.000319499,4.27E-08,7.50E-08,6.62E-08,O=C([Au])NCCOCCOCCOCCO[Cu],COCCOCCOCCOCCNC(=O)OCCOCCOCCOCCNC(=O)OCCOCCOCCOCCNC(=O)OCCOCCOCCOCCNC(=O)OCCOCCOCCOCCNC(=O)OCCOCCOCCOCCNC(=O)OCCOCCOCCOCCNC(=O)OCCOCCOCCOCCNC(=O)OCCOCCOCCOCCNC(=O)OCCOCCOCCOCCNC(=O)OCCOCCOCCOCCNC(C)=O,0.312595671,1.462694931
523,551,0.1.4,htp-md-stage,trajectories/0623/poly_9_nion_50_conc_1.5/9-0-413621281-0,0.000303273,4.62E-08,7.72E-08,8.42E-08,CN(CCCCOC(=O)[Au])CCOCCO[Cu],COCCOCCN(C)CCCCOC(=O)OCCOCCN(C)CCCCOC(=O)OCCOCCN(C)CCCCOC(=O)OCCOCCN(C)CCCCOC(=O)OCCOCCN(C)CCCCOC(=O)OCCOCCN(C)CCCCOC(=O)OCCOCCN(C)CCCCOC(=O)OCCOCCN(C)CCCCOC(=O)OCCOCCN(C)CCCCOC(=O)OCCOCCN(C)CCCCOC(=O)OCCOCCN(C)CCCCOC(=O)OCCOCCN(C)CCCCOC(C)=O,0.350048732,1.458395619
1197,1227,0.1.4,htp-md-stage,trajectories/0623/poly_9_nion_50_conc_1.5/9-0-538226080-0,0.000299172,4.39E-08,7.80E-08,6.25E-08,O=C([Au])OCCOCCOCCO[Cu],COCCOCCOCCOC(=O)OCCOCCOCCOC(=O)OCCOCCOCCOC(=O)OCCOCCOCCOC(=O)OCCOCCOCCOC(=O)OCCOCCOCCOC(=O)OCCOCCOCCOC(=O)OCCOCCOCCOC(=O)OCCOCCOCCOC(=O)OCCOCCOCCOC(=O)OCCOCCOCCOC(=O)OCCOCCOCCOC(=O)OCCOCCOCCOC(=O)OCCOCCOCCOC(C)=O,0.313999177,1.43061893
1123,1153,0.1.4,htp-md-stage,trajectories/0623/poly_9_nion_50_conc_1.5/9-0-413697743-0,0.000291935,4.76E-08,9.37E-08,6.05E-08,O=C([Au])OCCN(CCF)CCOCCO[Cu],COCCOCCN(CCF)CCOC(=O)OCCOCCN(CCF)CCOC(=O)OCCOCCN(CCF)CCOC(=O)OCCOCCN(CCF)CCOC(=O)OCCOCCN(CCF)CCOC(=O)OCCOCCN(CCF)CCOC(=O)OCCOCCN(CCF)CCOC(=O)OCCOCCN(CCF)CCOC(=O)OCCOCCN(CCF)CCOC(=O)OCCOCCN(CCF)CCOC(=O)OCCOCCN(CCF)CCOC(=O)OCCOCCN(CCF)CCOC(=O)OCCOCCN(CCF)CCOC(=O)OCCOCCN(CCF)CCOC(C)=O,0.193641292,1.453490735
1194,1224,0.1.4,htp-md-stage,trajectories/0623/poly_9_nion_50_conc_1.5/9-0-538225808-0,0.000284795,4.94E-08,8.30E-08,7.71E-08,O=C([Au])OCCCOCCCO[Cu],COCCCOCCCOC(=O)OCCCOCCCOC(=O)OCCCOCCCOC(=O)OCCCOCCCOC(=O)OCCCOCCCOC(=O)OCCCOCCCOC(=O)OCCCOCCCOC(=O)OCCCOCCCOC(=O)OCCCOCCCOC(=O)OCCCOCCCOC(=O)OCCCOCCCOC(=O)OCCCOCCCOC(=O)OCCCOCCCOC(=O)OCCCOCCCOC(=O)OCCCOCCCOC(=O)OCCCOCCCOC(C)=O,0.253064183,1.483412687
1209,1239,0.1.4,htp-md-stage,trajectories/0623/poly_9_nion_50_conc_1.5/9-0-538231396-0,0.00028235,4.29E-08,8.77E-08,7.02E-08,O=C([Au])OCCSCCOCCO[Cu],COCCOCCSCCOC(=O)OCCOCCSCCOC(=O)OCCOCCSCCOC(=O)OCCOCCSCCOC(=O)OCCOCCSCCOC(=O)OCCOCCSCCOC(=O)OCCOCCSCCOC(=O)OCCOCCSCCOC(=O)OCCOCCSCCOC(=O)OCCOCCSCCOC(=O)OCCOCCSCCOC(=O)OCCOCCSCCOC(=O)OCCOCCSCCOC(=O)OCCOCCSCCOC(C)=O,0.253580565,1.413364115
1142,1172,0.1.4,htp-md-stage,trajectories/0623/poly_9_nion_50_conc_1.5/9-0-428453468-0,0.000281633,3.34E-08,4.57E-08,4.28E-08,O=C([Au])NCCOCCOCCOCCN[Cu],CNCCOCCOCCOCCNC(=O)NCCOCCOCCOCCNC(=O)NCCOCCOCCOCCNC(=O)NCCOCCOCCOCCNC(=O)NCCOCCOCCOCCNC(=O)NCCOCCOCCOCCNC(=O)NCCOCCOCCOCCNC(=O)NCCOCCOCCOCCNC(=O)NCCOCCOCCOCCNC(=O)NCCOCCOCCOCCNC(=O)NCCOCCOCCOCCNC(C)=O,0.390888815,1.469207958
1138,1168,0.1.4,htp-md-stage,trajectories/0623/poly_9_nion_50_conc_1.5/9-0-428453346-0,0.000277578,3.75E-08,5.95E-08,5.47E-08,O=C([Au])OCCOCCOCCN[Cu],CNCCOCCOCCOC(=O)NCCOCCOCCOC(=O)NCCOCCOCCOC(=O)NCCOCCOCCOC(=O)NCCOCCOCCOC(=O)NCCOCCOCCOC(=O)NCCOCCOCCOC(=O)NCCOCCOCCOC(=O)NCCOCCOCCOC(=O)NCCOCCOCCOC(=O)NCCOCCOCCOC(=O)NCCOCCOCCOC(=O)NCCOCCOCCOC(=O)NCCOCCOCCOC(C)=O,0.369057281,1.438557318
1205,1235,0.1.4,htp-md-stage,trajectories/0623/poly_9_nion_50_conc_1.5/9-0-538227682-0,0.000272842,3.90E-08,7.64E-08,6.81E-08,O=C([Au])OCCOCCCOCCO[Cu],COCCOCCCOCCOC(=O)OCCOCCCOCCOC(=O)OCCOCCCOCCOC(=O)OCCOCCCOCCOC(=O)OCCOCCCOCCOC(=O)OCCOCCCOCCOC(=O)OCCOCCCOCCOC(=O)OCCOCCCOCCOC(=O)OCCOCCCOCCOC(=O)OCCOCCCOCCOC(=O)OCCOCCCOCCOC(=O)OCCOCCCOCCOC(=O)OCCOCCCOCCOC(C)=O,0.229703815,1.427084407
1047,1077,0.1.4,htp-md-stage,trajectories/0623/poly_9_nion_50_conc_1.5/9-0-413632580-0,0.000271125,4.80E-08,8.75E-08,6.82E-08,CCN(CCOCCO[Cu])CC(C)OC(=O)[Au],CCN(CCOCCOC(=O)OC(C)CN(CC)CCOCCOC(=O)OC(C)CN(CC)CCOCCOC(=O)OC(C)CN(CC)CCOCCOC(=O)OC(C)CN(CC)CCOCCOC(=O)OC(C)CN(CC)CCOCCOC(=O)OC(C)CN(CC)CCOCCOC(=O)OC(C)CN(CC)CCOCCOC(=O)OC(C)CN(CC)CCOCCOC(=O)OC(C)CN(CC)CCOCCOC(=O)OC(C)CN(CC)CCOCCOC(=O)OC(C)CN(CC)CCOCCOC(=O)OC(C)CN(CC)CCOCCOC(=O)OC(C)CN(CC)CCOCCOC)CC(C)OC(C)=O,0.26966154,1.479746123
146,174,0.1.4,htp-md-stage,trajectories/0623/poly_9_nion_50_conc_1.5/9-0-1119505140-0,0.000268271,3.99E-08,5.82E-08,4.98E-08,CN(CCNC(=O)[Au])CCOCCO[Cu],COCCOCCN(C)CCNC(=O)OCCOCCN(C)CCNC(=O)OCCOCCN(C)CCNC(=O)OCCOCCN(C)CCNC(=O)OCCOCCN(C)CCNC(=O)OCCOCCN(C)CCNC(=O)OCCOCCN(C)CCNC(=O)OCCOCCN(C)CCNC(=O)OCCOCCN(C)CCNC(=O)OCCOCCN(C)CCNC(=O)OCCOCCN(C)CCNC(=O)OCCOCCN(C)CCNC(=O)OCCOCCN(C)CCNC(=O)OCCOCCN(C)CCNC(C)=O,0.349795647,1.443075408
448,476,0.1.4,htp-md-stage,trajectories/0623/poly_9_nion_50_conc_1.5/9-0-413611903-0,0.000263725,3.92E-08,6.29E-08,6.84E-08,CN(CCCO[Cu])CCOCCOC(=O)[Au],COCCCN(C)CCOCCOC(=O)OCCCN(C)CCOCCOC(=O)OCCCN(C)CCOCCOC(=O)OCCCN(C)CCOCCOC(=O)OCCCN(C)CCOCCOC(=O)OCCCN(C)CCOCCOC(=O)OCCCN(C)CCOCCOC(=O)OCCCN(C)CCOCCOC(=O)OCCCN(C)CCOCCOC(=O)OCCCN(C)CCOCCOC(=O)OCCCN(C)CCOCCOC(=O)OCCCN(C)CCOCCOC(=O)OCCCN(C)CCOCCOC(C)=O,0.3621411,1.439340492
